Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Grand Theft Auto IV,PC,Main game,2020-03-04T22:33:50-08:00,2020-03-04T22:33:50-08:00,N/A,1
Final Fantasy VII Remake,PS4,Main game,2020-03-05T21:48:06-08:00,2020-03-05T21:48:06-08:00,N/A,1
Grand Theft Auto IV: The Ballad of Gay Tony,PC,Standalone expansion,2020-03-08T22:08:14-07:00,2020-03-08T22:08:14-07:00,Awesome,1
Windward,PC,Main game,2020-03-14T18:17:23-07:00,2020-03-14T18:17:23-07:00,N/A,1
Yakuza 0,PC,Main game,2020-03-15T20:07:40-07:00,2020-03-15T20:07:40-07:00,Meh,1
Batbarian,PC,Main game,2020-03-21T10:17:58-07:00,2020-03-21T10:17:58-07:00,N/A,1
Raji: An Ancient Epic,PC,Main game,2020-03-21T10:18:01-07:00,2020-03-21T10:18:01-07:00,N/A,1
Baldur's Gate: Enhanced Edition,PC,Main game,2020-03-28T10:19:13-07:00,2020-03-28T10:19:13-07:00,N/A,1
Fallout 4,PC,Main game,2020-04-26T23:49:03-07:00,2020-04-26T23:49:03-07:00,Good,1
Fallout 4: Automatron,PC,DLC / Addon,2020-05-03T12:26:38-07:00,2020-05-03T12:26:38-07:00,Bad,1
Fallout 4: Vault-Tec Workshop,PC,DLC / Addon,2020-05-03T12:51:02-07:00,2020-05-03T12:51:02-07:00,Meh,1
Fallout 4: Far Harbor,PC,DLC / Addon,2020-05-03T22:38:35-07:00,2020-05-03T22:38:35-07:00,Meh,1
Fallout 4: Nuka World,PC,DLC / Addon,2020-05-07T23:03:32-07:00,2020-05-07T23:03:32-07:00,Bad,1
Prince of Persia (2008),PC,Main game,2020-05-11T22:43:51-07:00,2020-05-11T22:43:51-07:00,Meh,1
Headlander,PC,Main game,2020-05-13T21:38:32-07:00,2020-05-13T21:38:32-07:00,Good,1
Strider (2014),PC,Main game,2020-05-16T13:45:23-07:00,2020-05-16T13:45:23-07:00,Meh,1
Manual Samuel,PC,Main game,2020-05-17T10:30:29-07:00,2020-05-17T10:30:29-07:00,Bad,1
Last Day of June,PC,Main game,2020-05-17T10:56:28-07:00,2020-05-17T10:56:28-07:00,N/A,1
Just Cause 3,PC,Main game,2020-05-23T08:17:43-07:00,2020-05-23T08:17:43-07:00,Meh,1
Rise &amp; Shine,PC,Main game,2020-05-23T17:58:52-07:00,2020-05-23T17:58:52-07:00,Bad,1
Deus Ex: The Fall,PC,Main game,2020-05-24T11:06:42-07:00,2020-05-24T11:06:42-07:00,Bad,1
Thief,PC,Main game,2020-05-25T17:21:40-07:00,2020-05-25T17:21:40-07:00,Meh,1
The Turing Test,PC,Main game,2020-05-27T17:13:56-07:00,2020-05-27T17:13:56-07:00,Good,1
Pocket Kingdom,PC,Main game,2020-05-30T06:44:17-07:00,2020-05-30T06:44:17-07:00,Meh,1
Planescape: Torment - Enhanced Edition,PC,Main game,2020-05-30T08:55:09-07:00,2020-05-30T08:55:09-07:00,N/A,1
MOLEK-SYNTEZ,PC,Main game,2020-05-30T12:32:02-07:00,2020-05-30T12:32:02-07:00,Good,1
Dragon's Dogma: Dark Arisen,PC,Main game,2020-05-31T23:11:14-07:00,2020-05-31T23:11:14-07:00,Meh,1
Batman: Arkham Origins,PC,Main game,2020-06-07T10:56:06-07:00,2020-06-07T10:56:06-07:00,Good,1
Batman: Arkham Origins - Cold, Cold Heart,PC,DLC / Addon,2020-06-07T22:17:02-07:00,2020-06-07T22:17:02-07:00,Good,1
Batman: Arkham Asylum,PC,Main game,2020-06-07T23:43:20-07:00,2020-06-07T23:43:20-07:00,Awesome,1
Batman: Arkham City,PC,Main game,2020-06-12T10:56:52-07:00,2020-06-12T10:56:52-07:00,Awesome,1
Batman: Arkham City - Harley Quinn's Revenge,PC,Expansion,2020-06-13T09:31:48-07:00,2020-06-13T09:31:48-07:00,Good,1
Batman: Arkham Knight,PC,Main game,2020-06-17T22:31:09-07:00,2020-06-17T22:31:09-07:00,Awesome,1
Toodee and Topdee,PC,Main game,2020-06-19T10:36:01-07:00,2020-06-19T10:36:01-07:00,N/A,1
The Dungeon of Naheulbeuk: The Amulet of Chaos,PC,Main game,2020-06-19T11:49:00-07:00,2020-06-19T11:49:00-07:00,N/A,1
Patrick's Parabox,PC,Main game,2020-06-19T13:49:53-07:00,2020-06-19T13:49:53-07:00,N/A,1
Midnight Protocol,PC,Main game,2020-06-21T09:37:18-07:00,2020-06-21T09:37:18-07:00,N/A,1
Batman: Arkham Knight - A Matter of Family,PC,DLC / Addon,2020-06-21T22:17:56-07:00,2020-06-21T22:17:56-07:00,Meh,1
Batman: Arkham Knight - Season of Infamy: Most Wanted Expansion,PC,Expansion,2020-06-21T22:47:46-07:00,2020-06-21T22:47:46-07:00,Good,1
Ibb and Obb,PC,Main game,2020-06-22T23:06:50-07:00,2020-06-22T23:06:50-07:00,Good,1
Wuppo: Definitive Edition,PC,Main game,2020-07-03T11:40:41-07:00,2020-07-03T11:40:41-07:00,Meh,1
Puppy Cross,PC,Main game,2020-07-03T12:13:58-07:00,2020-07-03T12:13:58-07:00,Meh,1
Mugsters,PC,Main game,2020-07-04T08:39:59-07:00,2020-07-04T08:39:59-07:00,Bad,1
Murder by Numbers,PC,Main game,2020-07-09T17:30:21-07:00,2020-07-09T17:30:21-07:00,Good,1
DYO,PC,Main game,2020-07-11T07:22:52-07:00,2020-07-11T07:22:52-07:00,Meh,1
Moving Out,PC,Main game,2020-07-12T11:43:21-07:00,2020-07-12T11:43:21-07:00,Good,1
Wolfenstein II: The New Colossus,PC,Main game,2020-07-13T23:47:17-07:00,2020-07-13T23:47:17-07:00,Meh,1
Dishonored 2,PC,Main game,2020-07-25T12:13:45-07:00,2020-07-25T12:13:45-07:00,Good,1
Dishonored: Death of the Outsider,PC,Main game,2020-07-26T14:15:37-07:00,2020-07-26T14:15:37-07:00,Good,1
MO:Astray,PC,Main game,2020-08-08T11:44:00-07:00,2020-08-08T11:44:00-07:00,Meh,1
See No Evil,PC,Main game,2020-08-08T13:20:25-07:00,2020-08-08T13:20:25-07:00,Meh,1
DEADBOLT,PC,Main game,2020-08-09T09:07:27-07:00,2020-08-09T09:07:27-07:00,Meh,1
Ittle Dew 2+,PC,Main game,2020-08-09T09:54:54-07:00,2020-08-09T09:54:54-07:00,Good,1
Dex,PC,Main game,2020-08-15T12:27:18-07:00,2020-08-15T12:27:18-07:00,Meh,1
Factorio,PC,Main game,2020-08-16T15:17:46-07:00,2020-08-22T15:05:44-07:00,Awesome,2
Metal Gear Rising: Revengeance,PC,Main game,2020-08-23T14:51:49-07:00,2020-08-23T14:51:49-07:00,N/A,1
7 Billion Humans,PC,Main game,2020-09-05T15:36:16-07:00,2020-09-05T15:36:16-07:00,Good,1
Iconoclasts,PC,Main game,2020-09-19T08:08:38-07:00,2020-09-19T08:08:38-07:00,Good,1
3030 Deathwar Redux,PC,Main game,2020-09-20T11:41:45-07:00,2020-09-20T11:41:45-07:00,Meh,1
Grand Theft Auto V,PC,Main game,2020-10-09T08:48:58-07:00,2020-10-09T08:48:58-07:00,Awesome,1
SteamWorld Heist,PC,Main game,2020-10-17T10:00:47-07:00,2020-10-17T10:00:47-07:00,Good,1
INSIDE (2016),PC,Main game,2020-10-18T13:43:50-07:00,2020-10-18T13:43:50-07:00,Good,1
Starpoint Gemini 2,PC,Main game,2020-10-18T15:17:33-07:00,2020-10-18T15:17:33-07:00,N/A,1
The Deadly Tower of Monsters,PC,Main game,2020-10-18T21:06:17-07:00,2020-10-18T21:06:17-07:00,Bad,1
Undertale,PC,Main game,2020-10-24T21:05:06-07:00,2020-10-24T21:05:06-07:00,Bad,1
Super Daryl Deluxe,PC,Main game,2020-10-25T15:51:28-07:00,2020-10-25T15:51:28-07:00,Bad,1
Divinity: Original Sin - Enhanced Edition,PC,Main game,2020-11-01T22:16:52-08:00,2020-11-01T22:16:52-08:00,Meh,1
Champions of Anteria,PC,Main game,2020-11-03T08:29:53-08:00,2020-11-03T08:29:53-08:00,Meh,1
Shantae and the Pirate's Curse,PC,Main game,2020-11-03T21:27:30-08:00,2020-11-03T21:27:30-08:00,N/A,1
Uncharted 2: Among Thieves,PS4,Main game,2020-11-11T07:15:42-08:00,2020-11-11T07:15:42-08:00,Good,1
Uncharted 3: Drake's Deception,PS4,Main game,2020-11-14T11:37:35-08:00,2020-11-14T11:37:35-08:00,Good,1
Dungeons 2,PC,Main game,2020-11-15T02:55:20-08:00,2020-11-15T02:55:20-08:00,Meh,1
Uncharted 4: A Thief's End,PS4,Main game,2020-11-16T08:39:13-08:00,2020-11-16T08:39:13-08:00,Awesome,1
Uncharted: The Lost Legacy,PS4,Standalone expansion,2020-11-21T09:48:02-08:00,2020-11-21T09:48:02-08:00,Good,1
Rise of Nations: Extended Edition,PC,Main game,2020-11-21T17:03:26-08:00,2020-11-21T17:03:26-08:00,N/A,1
HITMAN (2016),PC,Main game,2020-11-22T16:02:17-08:00,2020-11-22T16:02:17-08:00,N/A,1
Hitman: Absolution,PC,Main game,2020-11-27T15:00:13-08:00,2020-11-27T15:00:13-08:00,N/A,1
LEGO Ninjago Movie Video Game,PC,Main game,2020-11-27T17:03:13-08:00,2020-11-27T17:03:13-08:00,N/A,1
Masquerada: Songs and Shadows,PC,Main game,2020-12-05T13:35:54-08:00,2020-12-05T13:35:54-08:00,Good,1
Hollow Knight,PC,Main game,2020-12-13T23:51:17-08:00,2020-12-13T23:51:17-08:00,Good,1
Recursed,PC,Main game,2020-12-19T14:11:38-08:00,2020-12-19T14:11:38-08:00,Good,1
Onikira: Demon Killer,PC,Main game,2020-12-20T10:23:41-08:00,2020-12-20T10:23:41-08:00,Bad,1
Borderlands 3,PC,Main game,2020-12-23T23:38:07-08:00,2020-12-23T23:38:07-08:00,Good,1
PictoQuest,PC,Main game,2020-12-25T12:10:24-08:00,2020-12-25T12:10:24-08:00,Meh,1
