Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
BioShock Infinite: Burial at Sea - Episode 2,PC,DLC / Addon,2017-06-28T07:48:18-07:00,2017-06-28T07:48:18-07:00,Good,1
Prince of Persia: The Sands of Time,PC,Main game,2017-06-30T08:03:48-07:00,2017-07-02T09:41:27-07:00,Good,2
Stories Untold,PC,Main game,2017-07-02T23:28:06-07:00,2017-07-02T23:28:06-07:00,N/A,1
HeartZ: Co-Hope Puzzles,PC,Main game,2017-07-03T18:27:16-07:00,2017-07-03T18:27:16-07:00,Meh,1
Dyadic,PC,Main game,2017-07-03T18:27:19-07:00,2017-07-03T18:27:19-07:00,Meh,1
Linelight,PC,Main game,2017-07-05T22:25:46-07:00,2017-07-05T22:25:46-07:00,Good,1
Trine Enchanted Edition,PC,Main game,2017-07-10T21:00:53-07:00,2017-07-10T21:00:53-07:00,N/A,1
Nadia Was Here,PC,Main game,2017-07-10T21:00:59-07:00,2017-07-10T21:00:59-07:00,N/A,1
Kalimba,PC,Main game,2017-07-10T21:01:04-07:00,2017-07-12T07:20:23-07:00,Meh,2
Pitfall Planet,PC,Main game,2017-07-10T21:01:08-07:00,2017-07-11T06:29:16-07:00,Good,2
SHENZHEN I/O,PC,Main game,2017-07-24T07:47:48-07:00,2017-08-17T08:29:47-07:00,Good,3
Child of Light,PC,Main game,2017-07-24T07:47:53-07:00,2017-08-11T08:40:06-07:00,Good,2
Cat Quest,PC,Main game,2017-08-13T10:34:20-07:00,2017-08-13T10:34:20-07:00,N/A,1
Shiftlings,PC,Main game,2017-08-13T10:59:48-07:00,2017-08-13T10:59:48-07:00,Bad,1
Tiny Brains,PC,Main game,2017-08-13T11:22:51-07:00,2017-08-13T21:02:07-07:00,Meh,2
Darksiders Warmastered Edition,PC,Main game,2017-08-17T08:29:52-07:00,2017-09-15T19:29:09-07:00,Meh,2
Tales from the Borderlands,PC,Main game,2017-08-17T08:29:58-07:00,2017-08-22T07:54:25-07:00,Good,2
Uncharted: The Lost Legacy,PS4,Standalone expansion,2017-08-24T07:55:24-07:00,2017-08-26T08:55:07-07:00,Awesome,2
Code 7,PC,Main game,2017-08-31T08:21:02-07:00,2017-08-31T08:21:02-07:00,N/A,1
Borderlands 2,PC,Main game,2017-09-02T17:16:45-07:00,2017-11-26T12:48:07-08:00,Awesome,3
Zoo Rampage,PC,Main game,2017-09-02T17:16:49-07:00,2017-09-02T17:16:49-07:00,Bad,1
Danganronpa V3: Killing Harmony,PC,Main game,2017-09-02T19:32:51-07:00,2017-09-02T19:32:51-07:00,N/A,1
Mass Effect: Andromeda,PC,Main game,2017-09-04T21:38:50-07:00,2017-09-04T21:38:50-07:00,N/A,1
Cat Quest,Android,Main game,2017-09-15T19:29:15-07:00,2017-12-27T20:55:11-08:00,Good,3
Silicon Zeroes,PC,Main game,2017-09-24T13:51:17-07:00,2017-09-24T13:51:17-07:00,N/A,1
The Legend of Zelda: Majora's Mask 3D,3DS,Main game,2017-09-26T07:40:27-07:00,2017-10-05T22:41:43-07:00,Meh,2
Splasher,PC,Main game,2017-10-07T18:07:00-07:00,2017-10-07T18:07:00-07:00,N/A,1
Ori and the Blind Forest: Definitive Edition,PC,Main game,2017-10-09T19:41:10-07:00,2017-10-20T18:18:19-07:00,Meh,2
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,DLC / Addon,2017-10-14T09:34:17-07:00,2017-10-14T09:34:17-07:00,Good,1
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,DLC / Addon,2017-10-20T18:18:06-07:00,2017-10-20T18:18:06-07:00,Good,1
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,DLC / Addon,2017-10-25T22:47:54-07:00,2017-10-25T22:47:54-07:00,Bad,1
Super Mario Odyssey,Switch,Main game,2017-10-28T09:30:16-07:00,2017-12-02T17:38:10-08:00,Awesome,3
Borderlands 2: Tiny Tina's Assault on Dragon Keep,PC,DLC / Addon,2017-11-06T21:23:21-08:00,2017-11-06T21:23:21-08:00,Good,1
Borderlands 2: T.K. Baha's Bloody Harvest,PC,DLC / Addon,2017-11-06T21:46:57-08:00,2017-11-06T21:46:57-08:00,Awful,1
Borderlands 2: The Horrible Hunger of the Ravenous Wattle Gobbler,PC,DLC / Addon,2017-11-06T22:03:21-08:00,2017-11-06T22:03:21-08:00,Good,1
Borderlands 2: How Marcus Saved Mercenary Day,PC,DLC / Addon,2017-11-09T21:30:53-08:00,2017-11-09T21:30:53-08:00,Meh,1
Borderlands 2: Mad Moxxi and the Wedding Day Massacre,PC,DLC / Addon,2017-11-09T21:30:54-08:00,2017-11-09T21:30:54-08:00,Bad,1
Borderlands 2: Sir Hammerlock vs. the Son of Crawmerax,PC,DLC / Addon,2017-11-09T21:30:55-08:00,2017-11-09T21:30:55-08:00,Good,1
Death Squared,PC,Main game,2017-11-26T15:55:12-08:00,2017-11-26T15:55:12-08:00,N/A,1
Diablo III,PC,Main game,2017-12-03T09:23:08-08:00,2017-12-03T09:23:08-08:00,Meh,1
Mario &amp; Luigi: Bowser's Inside Story,DS,Main game,2017-12-03T09:50:04-08:00,2017-12-10T22:24:53-08:00,Meh,2
Shantae: Risky's Revenge - Director's Cut,PC,Main game,2017-12-03T10:10:48-08:00,2017-12-11T22:40:23-08:00,Bad,2
Opus Magnum,PC,Main game,2017-12-10T10:15:34-08:00,2017-12-10T10:15:34-08:00,Good,1
Okami HD,PC,Main game,2017-12-14T06:46:39-08:00,2017-12-28T22:38:13-08:00,Good,2
Pepper's Puzzles,PC,Main game,2017-12-28T17:32:57-08:00,2017-12-28T17:32:57-08:00,Good,1
