Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Hungry Cat Picross,Android,Main game,2018-06-17T13:22:07-07:00,2018-06-17T13:22:07-07:00,Bad,1
Shaq-Fu: A Legend Reborn,PC,Main game,2018-06-17T15:01:23-07:00,2018-06-17T15:01:23-07:00,Bad,1
Picross Fairytale,PC,Main game,2018-06-22T22:04:23-07:00,2018-06-22T22:04:23-07:00,Bad,1
Portal 2,PC,Main game,2018-06-24T15:55:01-07:00,2018-06-24T15:55:01-07:00,Good,1
Nonogram - The Greatest Painter,PC,Main game,2018-06-24T17:40:37-07:00,2018-07-23T22:11:54-07:00,Good,2
Cypher (2018),PC,Main game,2018-06-24T18:02:03-07:00,2018-12-27T11:58:37-08:00,Good,2
CrossCells,PC,Main game,2018-06-28T20:33:42-07:00,2018-06-28T20:33:42-07:00,Meh,1
Momodora: Reverie Under the Moonlight,PC,Main game,2018-07-02T21:56:21-07:00,2018-07-02T21:56:21-07:00,Meh,1
Agents of Mayhem,PC,Main game,2018-07-08T18:07:57-07:00,2018-07-08T18:07:57-07:00,Meh,1
Middle-earth: Shadow of War,PC,Main game,2018-07-15T10:04:08-07:00,2018-07-22T16:37:45-07:00,Awesome,2
Rise of the Tomb Raider,PC,Main game,2018-07-27T08:07:38-07:00,2018-08-05T14:09:45-07:00,Meh,2
Rise of the Tomb Raider: Baba Yaga: The Temple of the Witch,PC,DLC / Addon,2018-08-05T14:09:49-07:00,2018-08-05T14:09:49-07:00,Meh,1
Red Faction: Guerrilla Re-Mars-tered,PC,Main game,2018-08-10T08:02:09-07:00,2018-08-20T16:51:00-07:00,Good,2
Prey (2017),PC,Main game,2018-08-10T08:02:15-07:00,2018-09-30T21:06:54-07:00,Awesome,2
Chasm,PC,Main game,2018-10-13T11:24:01-07:00,2018-10-13T11:24:01-07:00,Bad,1
Brainfuck,PC,Main game,2018-10-14T13:02:47-07:00,2018-10-14T13:02:47-07:00,N/A,1
Horizon Zero Dawn,PS4,Main game,2018-10-25T21:21:30-07:00,2018-10-25T21:21:30-07:00,Awesome,1
Horizon Zero Dawn - The Frozen Wilds,PS4,Expansion,2018-10-28T13:15:04-07:00,2018-10-28T13:15:04-07:00,Good,1
Zone of the Enders: The 2nd Runner M&forall;RS,PC,Main game,2018-11-03T09:12:29-07:00,2018-11-03T09:12:29-07:00,N/A,1
Underhero,PC,Main game,2018-11-03T10:10:10-07:00,2018-11-03T10:10:10-07:00,N/A,1
Inked,PC,Main game,2018-11-03T10:53:42-07:00,2018-11-03T10:53:42-07:00,N/A,1
Alchemia,PC,Main game,2018-11-03T13:17:08-07:00,2018-11-03T13:17:08-07:00,Good,1
Thronebreaker: The Witcher Tales,PC,Standalone expansion,2018-11-03T13:48:16-07:00,2018-11-13T21:39:23-08:00,Good,2
Nonogram - Master's Legacy,PC,Main game,2018-11-13T21:43:01-08:00,2018-11-13T21:43:01-08:00,N/A,1
AER: Memories of Old,PC,Main game,2018-11-13T22:31:16-08:00,2018-11-13T22:31:16-08:00,Meh,1
CUBOTS - The Origins,PC,Main game,2018-11-17T12:14:44-08:00,2018-11-17T12:14:44-08:00,Awful,1
Vanquish,PC,Main game,2018-11-17T12:50:09-08:00,2018-11-17T12:50:09-08:00,Meh,1
Refunct,PC,Main game,2018-11-18T15:44:26-08:00,2018-11-18T15:44:26-08:00,Meh,1
LaserCat,PC,Main game,2018-11-18T19:59:14-08:00,2018-11-18T19:59:14-08:00,Good,1
The Warlock of Firetop Mountain,PC,Main game,2018-11-19T20:33:04-08:00,2018-11-19T20:33:04-08:00,N/A,1
Miner Ultra Adventures,PC,Main game,2018-11-21T07:51:52-08:00,2018-11-21T07:51:52-08:00,Awful,1
Timespinner,PC,Main game,2018-11-22T12:03:57-08:00,2018-11-22T12:03:57-08:00,Good,1
CrossCode,PC,Main game,2018-12-02T16:56:26-08:00,2018-12-02T16:56:26-08:00,Meh,1
Dragon Age: Origins,PC,Main game,2018-12-13T21:37:28-08:00,2018-12-13T21:37:28-08:00,N/A,1
God of War (2018),PS4,Main game,2018-12-25T20:20:21-08:00,2018-12-25T20:20:21-08:00,Awesome,1
Paper Mario: Sticker Star,3DS,Main game,2018-12-26T18:07:12-08:00,2018-12-26T18:07:12-08:00,N/A,1
Deus Ex: Mankind Divided - System Rift,PC,DLC / Addon,2018-12-29T11:50:58-08:00,2018-12-29T11:50:58-08:00,Good,1
Deus Ex: Mankind Divided - A Criminal Past,PC,DLC / Addon,2018-12-31T10:52:18-08:00,2018-12-31T10:52:18-08:00,Good,1
