Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Syder Arcade,PC,Main game,2014-07-03T00:08:34-07:00,2014-07-03T00:08:34-07:00,Meh,1
Thomas Was Alone,PC,Main game,2014-07-05T13:26:55-07:00,2014-07-05T13:26:55-07:00,Awesome,1
Papers, Please,PC,Main game,2014-07-05T14:18:32-07:00,2014-07-05T14:18:32-07:00,Bad,1
Savant: Ascent,PC,Main game,2014-07-06T13:21:04-07:00,2014-07-06T13:21:04-07:00,Meh,1
Evoland,PC,Main game,2014-07-06T18:52:26-07:00,2014-07-06T18:52:26-07:00,Awful,1
Ittle Dew,PC,Main game,2014-07-06T23:07:37-07:00,2014-07-06T23:07:37-07:00,Awesome,1
Mighty Switch Force! Hyper Drive Edition,Wii U,Main game,2014-07-07T17:53:07-07:00,2014-07-07T17:53:07-07:00,Meh,1
Element4l,PC,Main game,2014-07-08T18:19:49-07:00,2014-07-08T18:19:49-07:00,N/A,1
Incredipede,PC,Main game,2014-07-08T19:24:34-07:00,2014-07-08T19:24:34-07:00,N/A,1
Kingdom Rush,PC,Main game,2014-07-09T20:02:14-07:00,2014-07-09T20:02:14-07:00,Good,1
Puzzle Bots,PC,Main game,2014-07-09T20:55:41-07:00,2014-07-09T20:55:41-07:00,N/A,1
Magrunner: Dark Pulse,PC,Main game,2014-07-10T23:46:12-07:00,2014-07-13T22:24:31-07:00,Good,2
Card City Nights,PC,Main game,2014-07-14T20:46:05-07:00,2014-07-14T20:46:05-07:00,Meh,1
To the Moon,PC,Main game,2014-07-16T21:37:30-07:00,2014-07-16T21:37:30-07:00,Good,1
Rogue Legacy,PC,Main game,2014-07-17T18:22:46-07:00,2014-07-17T18:22:46-07:00,N/A,1
Dust: An Elysian Tail,PC,Main game,2014-07-20T18:04:54-07:00,2014-07-20T18:04:54-07:00,Awesome,1
PixelJunk Shooter,PC,Main game,2014-07-20T20:10:57-07:00,2014-07-20T20:10:57-07:00,N/A,1
Gone Home,PC,Main game,2014-07-21T00:30:49-07:00,2014-07-21T00:30:49-07:00,Good,1
Dishonored: The Knife of Dunwall,PC,DLC / Addon,2014-07-22T22:00:05-07:00,2014-07-22T22:00:05-07:00,Good,1
Dishonored: The Brigmore Witches,PC,DLC / Addon,2014-07-26T16:46:36-07:00,2014-07-26T16:46:36-07:00,Good,1
Finding Teddy,PC,Main game,2014-07-28T18:27:17-07:00,2014-07-28T18:27:17-07:00,Awful,1
Shank 2,PC,Main game,2014-07-28T20:45:43-07:00,2014-07-28T20:45:43-07:00,N/A,1
QBEH-1: The Atlas Cube,PC,Main game,2014-07-28T22:18:04-07:00,2014-07-29T23:23:01-07:00,Meh,2
New Super Mario Bros. 2,3DS,Main game,2014-07-30T19:39:13-07:00,2014-07-30T19:39:13-07:00,Meh,1
BattleBlock Theater,PC,Main game,2014-07-31T00:37:54-07:00,2014-07-31T00:37:54-07:00,Good,1
Trine 2,PC,Main game,2014-07-31T18:14:06-07:00,2014-07-31T18:14:06-07:00,N/A,1
Strike Suit Zero: Director's Cut,PC,Main game,2014-07-31T23:21:26-07:00,2014-08-03T19:29:27-07:00,Awesome,2
SteamWorld Dig,PC,Main game,2014-08-03T23:14:37-07:00,2014-08-03T23:14:37-07:00,Meh,1
Before the Echo,PC,Main game,2014-08-03T23:57:29-07:00,2014-08-03T23:57:29-07:00,N/A,1
Killer Is Dead,Xbox 360,Main game,2014-08-05T00:03:00-07:00,2014-10-26T21:37:05-07:00,Bad,2
League of Legends,PC,Main game,2014-08-10T15:12:29-07:00,2014-08-10T15:12:29-07:00,N/A,1
Assassin's Creed: Freedom Cry,PC,Standalone expansion,2014-08-10T19:47:04-07:00,2014-08-10T19:47:04-07:00,Meh,1
Marlow Briggs and the Mask of Death,PC,Main game,2014-08-11T22:22:47-07:00,2014-08-11T22:22:47-07:00,Good,1
Legends of Persia,PC,Main game,2014-08-11T23:24:34-07:00,2014-08-11T23:24:34-07:00,Awful,1
Halo: Spartan Assault,PC,Main game,2014-08-12T17:30:21-07:00,2014-08-12T17:30:21-07:00,N/A,1
Transcripted,PC,Main game,2014-08-12T23:38:14-07:00,2014-08-12T23:38:14-07:00,Good,1
Dota 2,PC,Main game,2014-08-13T23:59:32-07:00,2014-08-13T23:59:32-07:00,N/A,1
Drox Operative,PC,Main game,2014-08-18T19:45:49-07:00,2014-08-18T19:45:49-07:00,N/A,1
Hard Truck Apocalypse,PC,Main game,2014-08-18T19:57:06-07:00,2014-08-18T19:57:06-07:00,N/A,1
Gateways,PC,Main game,2014-08-18T23:22:08-07:00,2014-08-19T23:23:40-07:00,Good,2
Sine Mora,PC,Main game,2014-08-20T22:36:46-07:00,2014-08-20T22:36:46-07:00,Good,1
Blood Knights,PC,Main game,2014-08-22T17:42:53-07:00,2014-08-22T17:42:53-07:00,Awful,1
Saira,PC,Main game,2014-08-22T18:36:12-07:00,2014-08-22T18:36:12-07:00,Meh,1
Bulletstorm,PC,Main game,2014-08-24T20:14:18-07:00,2014-08-24T20:14:18-07:00,Good,1
Hate Plus,PC,Main game,2014-08-26T19:46:51-07:00,2014-08-26T19:46:51-07:00,Meh,1
The Swapper,PC,Main game,2014-08-30T16:03:14-07:00,2014-08-30T16:03:14-07:00,Good,1
Recettear: An Item Shop's Tale,PC,Main game,2014-08-30T20:12:37-07:00,2014-08-30T20:12:37-07:00,Meh,1
Volt,PC,Main game,2014-09-01T22:54:50-07:00,2014-09-01T22:54:50-07:00,N/A,1
Vessel,PC,Main game,2014-09-03T21:51:27-07:00,2014-09-03T21:51:27-07:00,Meh,1
Zigfrak,PC,Main game,2014-09-03T23:40:13-07:00,2014-09-03T23:40:13-07:00,N/A,1
Snapshot,PC,Main game,2014-09-06T13:34:20-07:00,2014-09-06T13:34:20-07:00,Meh,1
Toki Tori 2+,PC,Main game,2014-09-09T20:47:13-07:00,2014-09-10T21:24:02-07:00,Awesome,2
Lexica,PC,Main game,2014-09-10T23:33:57-07:00,2014-09-10T23:33:57-07:00,Meh,1
The 39 Steps,PC,Main game,2014-09-13T12:22:05-07:00,2014-09-13T12:22:05-07:00,Bad,1
Super Smash Bros. for Nintendo 3DS,3DS,Main game,2014-09-22T22:44:03-07:00,2014-09-22T22:44:03-07:00,N/A,1
Guacamelee! Super Turbo Championship Edition,PC,Main game,2014-09-24T22:58:57-07:00,2014-09-24T22:58:57-07:00,Good,1
Middle-earth: Shadow of Mordor,PC,Main game,2014-09-30T23:18:43-07:00,2014-10-07T21:27:18-07:00,Awesome,2
A Story About My Uncle,PC,Main game,2014-10-13T22:19:51-07:00,2014-10-13T22:19:51-07:00,Meh,1
Papo &amp; Yo,PC,Main game,2014-10-15T00:26:35-07:00,2014-10-15T00:26:35-07:00,Good,1
Bardbarian,PC,Main game,2014-10-17T01:47:51-07:00,2014-10-17T01:47:51-07:00,Meh,1
Battle Group 2,PC,Main game,2014-10-25T13:05:19-07:00,2014-10-25T13:05:19-07:00,Meh,1
Hyrule Warriors,Wii U,Main game,2014-10-26T19:54:03-07:00,2014-10-26T19:54:03-07:00,Good,1
Sid Meier's Civilization: Beyond Earth,PC,Main game,2014-10-26T22:39:51-07:00,2014-10-26T22:39:51-07:00,N/A,1
The Wonderful 101,Wii U,Main game,2014-10-27T20:26:05-07:00,2014-10-27T20:26:05-07:00,Good,1
Jazzpunk,PC,Main game,2014-11-02T14:49:12-08:00,2014-11-02T14:49:12-08:00,Meh,1
The Talos Principle,PC,Main game,2014-11-06T19:44:12-08:00,2014-11-06T19:44:12-08:00,N/A,1
Factorio,PC,Main game,2014-11-09T20:07:15-08:00,2014-11-09T20:07:15-08:00,N/A,1
Drunken Robot Pornography,PC,Main game,2014-11-10T20:23:11-08:00,2014-11-10T20:23:11-08:00,Good,1
Professor Layton vs. Phoenix Wright: Ace Attorney,3DS,Main game,2014-11-13T18:21:47-08:00,2014-11-13T18:21:47-08:00,Good,1
World of Warcraft: Warlords of Draenor,PC,Expansion,2014-12-18T21:19:41-08:00,2014-12-18T21:19:41-08:00,Meh,1
Super Smash Bros. for Wii U,Wii U,Main game,2014-12-18T22:52:19-08:00,2014-12-22T18:15:36-08:00,Good,2
Chronology,PC,Main game,2014-12-21T01:07:54-08:00,2014-12-21T01:07:54-08:00,Meh,1
Mitsurugi Kamui Hikae,PC,Main game,2014-12-22T22:20:48-08:00,2014-12-22T22:20:48-08:00,Bad,1
Teslagrad,PC,Main game,2014-12-23T20:46:55-08:00,2014-12-23T20:46:55-08:00,Meh,1
Radiant Historia,DS,Main game,2014-12-28T21:55:30-08:00,2014-12-28T21:55:30-08:00,Good,1
