Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
"Mass Effect 2: The Firewalker Pack",PC,DLC / Addon,2021-06-29T18:26:49-07:00,2021-06-29T18:26:49-07:00,Bad,1
"Mass Effect 2: Overlord",PC,DLC / Addon,2021-06-29T21:07:27-07:00,2021-06-29T21:07:27-07:00,Meh,1
"Mass Effect 2: Lair of the Shadow Broker",PC,DLC / Addon,2021-07-03T10:40:41-07:00,2021-07-03T10:40:41-07:00,Meh,1
"Mass Effect 2: Arrival",PC,DLC / Addon,2021-07-03T11:05:58-07:00,2021-07-03T11:05:58-07:00,Meh,1
"Mass Effect 3",PC,Main game,2021-07-03T19:58:38-07:00,2021-07-03T19:58:38-07:00,Good,1
"Mass Effect 3: From Ashes",PC,DLC / Addon,2021-07-04T09:00:24-07:00,2021-07-04T09:00:24-07:00,Good,1
"Mass Effect 3: Omega",PC,DLC / Addon,2021-07-04T10:34:10-07:00,2021-07-04T10:34:10-07:00,Good,1
"Mass Effect 3: Leviathan",PC,DLC / Addon,2021-07-04T11:16:36-07:00,2021-07-04T11:16:36-07:00,Good,1
"Mass Effect 3: Citadel",PC,DLC / Addon,2021-07-04T11:47:15-07:00,2021-07-04T11:47:15-07:00,Good,1
"Ghost of Tsushima",PS4,Main game,2021-07-17T15:05:28-07:00,2021-07-17T15:05:28-07:00,Awesome,1
"The Talos Principle: Road to Gehenna",PC,Expansion,2021-08-08T12:20:35-07:00,2021-08-08T12:20:35-07:00,Good,1
"Biped",PC,Main game,2021-08-08T12:49:55-07:00,2021-08-08T12:49:55-07:00,Meh,1
"Borderlands 3: Moxxi's Heist of the Handsome Jackpot",PC,Expansion,2021-08-16T21:06:30-07:00,2021-08-16T21:06:30-07:00,Good,1
"Borderlands 3: Guns, Love, and Tentacles",PC,Expansion,2021-08-16T22:00:23-07:00,2021-08-16T22:00:23-07:00,Good,1
"Borderlands 3: Bounty of Blood",PC,Expansion,2021-08-16T22:39:37-07:00,2021-08-16T22:39:37-07:00,Meh,1
"Piczle Cross Adventure",PC,Main game,2021-09-05T13:48:36-07:00,2021-09-05T13:48:36-07:00,Awesome,1
"Saints Row: The Third Remastered",PC,Remaster,2021-09-06T16:53:49-07:00,2021-09-06T16:53:49-07:00,Good,1
"Saints Row: The Third - Gangstas in Space",PC,DLC / Addon,2021-09-06T17:46:49-07:00,2021-09-06T17:46:49-07:00,Meh,1
"Saints Row: The Third - Genkibowl VII",PC,DLC / Addon,2021-09-06T17:46:49-07:00,2021-09-06T17:46:49-07:00,Meh,1
"Saints Row: The Third - The Trouble with Clones",PC,DLC / Addon,2021-09-06T17:46:49-07:00,2021-09-06T17:46:49-07:00,Meh,1
"The Great Ace Attorney 2: Resolve",PC,Main game,2021-10-30T11:01:24-07:00,2021-10-30T11:01:24-07:00,Good,1
"The Great Ace Attorney: Adventures",PC,Main game,2021-10-30T11:01:24-07:00,2021-10-30T11:01:24-07:00,Good,1
"Danger Crew",PC,Main game,2021-10-30T17:41:45-07:00,2021-10-30T17:41:45-07:00,Meh,1
"Ronin",PC,Main game,2021-11-11T08:13:19-08:00,2021-11-11T08:13:19-08:00,N/A,1
"Borderlands 3: Psycho Krieg and the Fantastic Fustercluck",PC,Expansion,2021-12-05T21:38:34-08:00,2021-12-05T21:38:34-08:00,Meh,1
"Horizon Zero Dawn",PC,Main game,2021-12-12T12:40:37-08:00,2021-12-12T12:40:37-08:00,Awesome,1
"Horizon Zero Dawn - The Frozen Wilds",PC,Expansion,2021-12-12T13:00:46-08:00,2021-12-12T13:00:46-08:00,Good,1
"Semblance",PC,Main game,2021-12-18T11:29:05-08:00,2021-12-18T11:29:05-08:00,Meh,1
"Tembo the Badass Elephant",PC,Main game,2021-12-18T21:36:45-08:00,2021-12-18T21:36:45-08:00,Meh,1
"Splasher",PC,Main game,2021-12-19T10:26:28-08:00,2021-12-19T10:26:28-08:00,N/A,1
"Massive Chalice",PC,Main game,2021-12-23T23:53:02-08:00,2021-12-23T23:53:02-08:00,Good,1
"Borderlands 3: Director's Cut",PC,Main game,2021-12-28T23:03:27-08:00,2021-12-28T23:03:27-08:00,Meh,1
"Red Dead Redemption 2",PC,Main game,2021-12-31T01:19:13-08:00,2021-12-31T01:19:13-08:00,Meh,1
